artist,artist_id,count,genres
Esmé Patterson,1PoFNQQDFXvOYm6Dx8coAa,3,deep new americana|new americana
Ezra Furman,1uR7zoLrSRI8bSL43OZ0GY,1,alternative pop|transpop
Family Portrait,0x9FXWb1oVJz7FlC1UA8Z3,1,popgaze
Father John Misty,2kGBy2WHvF0VdZyqiVCkDT,5,freak folk|indie folk|indie pop|indie rock|rock|stomp and holler
Fatlip,2rjcywjNOv7KNRGktTYLbR,1,alternative hip hop
Fellowship Creative,1HFukfooHlG0Z5nvBCpLNL,1,
Fenne Lily,7iPH2BRBF9wKa6ljxvdext,1,bristol indie|british singer-songwriter|chamber pop|indie anthem-folk|indie folk
Fever Dolls,3KeGbFp8QkzaknOW0sLexS,1,
Fink,2t9yJDJIEtvPmr2iRIdqBf,2,ninja
First Aid Kit,21egYD1eInY6bGFcniCRT1,1,indie folk|stomp and holler|swedish americana|swedish country
Fitz and The Tantrums,4AcHt3JxKy59IX7JNNlZn4,4,indie pop|indie poptimism|la indie|modern alternative rock|modern rock|pop rock|rock
Five For Fighting,7FgMLbnZVrEnir95O0YujA,1,acoustic pop|neo mellow|piano rock|pop rock|post-grunge
Fleet Foxes,4EVpmkEwrLYEg6jIsiPMIb,1,chamber pop|freak folk|indie folk|indie pop|indie rock|modern rock|seattle indie|stomp and holler
Flipturn,7FKTg75ADVMZgY3P9ZMRtH,1,jacksonville indie
Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,1,art pop|baroque pop|pop|uk alternative pop
Forest City Lovers,3xt6JhemYM0hVt6F33cs31,3,canadian indie folk|toronto indie
Fort Atlantic,4Rdk2ceg24bhG52VuMcZ7Y,1,modern folk rock
Fort Frances,1b2FE6oSOgzJ9dwNZi0Pqn,1,chicago indie
Foster The People,7gP3bB2nilZXLfPHJhMdvc,11,indie pop|modern alternative rock|modern rock|rock
Frances Cone,5xKsfZBL84iULLWjvd4dWh,2,pop folk
Francesca Blanchard,5nr9aC1q4Iu3i4hYOiRiNf,1,vermont indie
Francois Peglau,6jXaF3Tfh1hxacwmX1k0o1,1,peruvian indie
Frank Ocean,2h93pZq0e7k5yf4dywlkpM,12,alternative r&b|hip hop|lgbtq+ hip hop|neo soul|pop
Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,1,bedroom pop|indie garage rock|indie pop|indie rock
